tipo;numero;anoassinatura;normaNome;ementa;dataassinatura;apelido;origem;origem_tipo;origem_numero;origem_ano;autor;partido;uf;link_origem;classe;classe_extra;url;index;simbólica;simbólica_tipo;competencia_exclusiva;controle
LEI-n;13646;2018;Lei nº 13.646 de 09/04/2018;Institui o Ano de Valorização e Defesa dos Direitos Humanos da Pessoa Idosa, em alusão à Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos.;10/04/2018;;PLC 9357/2017;PL;9357;2017;Leandre;PSD;PR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-9357-2017;Honorífico / Data Comemorativa;Data Comemorativa;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-09;13646";CRIAÇÃO , Ano de Valorização e Defesa dos Direitos Humanos da Pessoa Idosa , REFERENCIA , PROCESSO , RATIFICAÇÃO , CONVENÇÃO , PAIS , AMERICA .;sim;Data Comemorativa;não;nao okay
LEI-n;13645;2018;Lei nº 13.645 de 04/04/2018;Institui o Dia Nacional do Desafio.;05/04/2018;;PLC 1300/2003;PL;1300;2003;LOBBE NETO;PSDB;SP;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-1300-2003;Honorífico / Data Comemorativa;Honorífico;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-04;13645";CRIAÇÃO , Dia Nacional do Desafio , EXERCICIO , ATIVIDADE , PRATICA ESPORTIVA , EMPRESA PRIVADA , ADMINISTRAÇÃO PUBLICA , ESTABELECIMENTO DE ENSINO , DOMICILIO , ESPAÇO , CARATER PUBLICO .;sim;Data Comemorativa;não;nao okay
LEI-n;13644;2018;Lei nº 13.644 de 04/04/2018;Altera a Lei nº 4.117, de 27 de agosto de 1962, para dispor sobre o horário de retransmissão obrigatória do programa oficial dos Poderes da República pelas emissoras de radiodifusão sonora.;05/04/2018;;PLC 595/2003;PL;595;2003;Perpétua Almeida;PCdoB;AC;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-595-2003;Infraestrutura / Comunicações / Rádio e TV;Comunicações;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-04;13644";ALTERAÇÃO , CODIGO BRASILEIRO DE TELECOMUNICAÇÕES , OBRIGATORIEDADE , RETRANSMISSÃO , VOZ DO BRASIL , EMISSORA , RADIODIFUSÃO .;nao;;não;nao okay
LEI-n;13643;2018;Lei nº 13.643 de 03/04/2018;Regulamenta as profissões de Esteticista, que compreende o Esteticista e Cosmetólogo, e de Técnico em Estética.;04/04/2018;;PLC 2332/2015;PL;2332;2015;Soraya Santos;PL;RJ;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-2332-2015;Política Social / Trabalho e Emprego / Regulamentação Profissional;Política Social;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-03;13643";REGULAMENTAÇÃO , EXERCICIO , PROFISSÃO , ESTETICISTA .;nao;;não;nao okay
LEI-n;13642;2018;Lei nº 13.642 de 03/04/2018;Altera a Lei nº 10.446, de 8 de maio de 2002, para acrescentar atribuição à Polícia Federal no que concerne à investigação de crimes praticados por meio da rede mundial de computadores que difundam conteúdo misógino, definidos como aqueles que propagam o ódio ou a aversão às mulheres.;04/04/2018;Lei Lola (2018);PLC 4614/2016;PL;4614;2016;Luizianne Lins;PT;CE;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-4614-2016;Administração Pública / Organização Administrativa / Administração Pública Direta / Jurídico / Processo / Processo Penal / Soberania / Defesa Nacional e Ordem Pública / Defesa do Estado e das Instituições Democráticas / Segurança Pública / Política Social / Proteção Social / Mulheres;Segurança Pública;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-03;13642";ACRESCIMO , COMPETENCIA , POLICIA FEDERAL , INVESTIGAÇÃO , CRIME , DIFUSÃO , INTERNET , CONTEUDO , PROPAGAÇÃO , MISOGINIA , MULHER .;nao;;não;nao okay
LEI-n;13641;2018;Lei nº 13.641 de 03/04/2018;Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para tipificar o crime de descumprimento de medidas protetivas de urgência.;04/04/2018;;PLC 173/2015;PL;173;2015;Alceu Moreira;MDB;RS;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-173-2015;Jurídico / Direito Penal e Penitenciário / Política Social / Proteção Social / Mulheres;Jurídico;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-04-03;13641";ALTERAÇÃO , LEI MARIA DA PENHA , TIPICIDADE , CRIME , COMINAÇÃO , PENA , DESCUMPRIMENTO , MEDIDA CAUTELAR , PROTEÇÃO , MULHER , URGENCIA .;nao;;não;nao okay
LEI-n;13640;2018;Lei nº 13.640 de 26/03/2018;Altera a Lei nº 12.587, de 3 de janeiro de 2012, para regulamentar o transporte remunerado privado individual de passageiros.;27/03/2018;;PLC 5587/2016;PL;5587;2016;Carlos Zarattini;PT;SP;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-5587-2016;Infraestrutura / Viação e Transportes / Transporte Terrestre;Viação e Transportes;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-03-26;13640";ALTERAÇÃO , LEI FEDERAL , POLITICA NACIONAL , MEIOS DE TRANSPORTE , ATIVIDADE ECONOMICA , TRANSPORTE INDIVIDUAL , TRANSPORTE REMUNERADO , PASSAGEIRO , COMPETENCIA , REGULAMENTAÇÃO , FISCALIZAÇÃO , MUNICIPIOS , DISTRITO FEDERAL (DF) .;nao;;não;nao okay
LEI-n;13639;2018;Lei nº 13.639 de 26/03/2018;Cria o Conselho Federal dos Técnicos Industriais, o Conselho Federal dos Técnicos Agrícolas, os Conselhos Regionais dos Técnicos Industriais e os Conselhos Regionais dos Técnicos Agrícolas.;27/03/2018;;PLC 5179/2016;PL;5179;2016;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-5179-2016;Política Social / Trabalho e Emprego / Regulamentação Profissional;Política Social;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-03-26;13639";CRIAÇÃO , Conselho Federal dos Técnicos Agrícolas (CFTA) , Conselho Federal dos Técnicos Industriais (CFT) , Conselho Regional dos Técnicos Industriais , COMPOSIÇÃO , ESTRUTURA , COMPETENCIA , ANUIDADE .;nao;;sim;nao okay
LEI-n;13638;2018;Lei nº 13.638 de 22/03/2018;Altera a Lei nº 8.686, de 20 de julho de 1993, para estabelecer novo valor para a pensão especial devida à pessoa com a deficiência física conhecida como Síndrome da Talidomida, instituída pela Lei nº 7.070, de 20 de dezembro de 1982.;23/03/2018;;PLS 504/2015;PLS;504;2015;Senadora Sandra Braga;MDB;AM;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pls-504-2015;Política Social / Proteção Social / Assistência Social / Política Social / Proteção Social / Pessoas com Deficiência;Política Social;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-03-22;13638";ALTERAÇÃO , VALOR , PENSÃO ESPECIAL , DEFICIENTE FISICO , PORTADOR , SINDROME DA TALIDOMIDA .;nao;;não;nao okay
LEI-n;13637;2018;Lei nº 13.637 de 20/03/2018;Cria a Universidade Federal de Rondonópolis, por desmembramento de campus da Universidade Federal de Mato Grosso.;21/03/2018;;PLC 5273/2016;PL;5273;2016;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-5273-2016;Administração Pública / Organização Administrativa / Administração Pública Indireta / Política Social / Educação / Educação Superior;Educação;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-03-20;13637";CRIAÇÃO , Universidade Federal de Rondonópolis (UFR) , SEDE , RONDONOPOLIS (MT) , DESMEMBRAMENTO , UNIVERSIDADE FEDERAL DE MATO GROSSO (UFMT) .;nao;;sim;nao okay
LEI-n;13636;2018;Lei nº 13.636 de 20/03/2018;"Dispõe sobre o Programa Nacional de Microcrédito Produtivo Orientado (PNMPO); e revoga dispositivos das Leis nºs 11.110, de 25 de abril de 2005, e 10.735, de 11 de setembro de 2003.";21/03/2018;;MPV 802/2017;MPV;802;2017;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/pesquisa/-/materia/130972;Administração Pública / Organização Administrativa / Administração Pública Direta;Administração Pública;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-03-20;13636";CRIAÇÃO, PROGRAMA NACIONAL DE MICROCREDITO PRODUTIVO ORIENTADO (PNMPO), OBJETIVO, FINANCIAMENTO, APOIO, ATIVIDADE, PRODUÇÃO, AMBITO, MINISTERIO DO TRABALHO (MTB);nao;;não;nao okay
LEI-n;13635;2018;Lei nº 13.635 de 20/03/2018;Cria a Universidade Federal de Jataí, por desmembramento da Universidade Federal de Goiás.;21/03/2018;;PLC 5275/2016;PL;5275;2016;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-5275-2016;Administração Pública / Organização Administrativa / Administração Pública Indireta;Educação;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-03-20;13635";CRIAÇÃO , Universidade Federal de Jataí (UFJ) , SEDE , JATAI (GO) , DESMEMBRAMENTO , UNIVERSIDADE FEDERAL DE GOIAS (UFGO) .;nao;;sim;nao okay
LEI-n;13634;2018;Lei nº 13.634 de 20/03/2018;Cria a Universidade Federal de Catalão, por desmembramento da Universidade Federal de Goiás.;21/03/2018;;PLC 5271/2016;PL;5271;2016;Poder Executivo;BR;BR;https://www.congressonacional.leg.br/materias/materias-bicamerais/-/ver/pl-5271-2016;Administração Pública / Organização Administrativa / Administração Pública Indireta;Educação;"https://normas.leg.br/?urn=urn:lex:br:federal:lei:2018-03-20;13634";CRIAÇÃO , Universidade Federal de Catalão (UFCAT) , SEDE , CATALÃO (GO) , DESMEMBRAMENTO , UNIVERSIDADE FEDERAL DE GOIAS (UFGO) .;nao;;sim;nao okay
